rowid,pl_discmethod,pl_pnum,pl_orbper,pl_dens,st_dist,st_dist_ly,st_dist_gen,pl_name,pl_eqt,pl_eqtc,pl_masse,pl_grave,pl_rade,pl_type,pl_ratdor,esi,pl_disc
61,Transit,1,13.2406,3.7,345,1125,40,CoRoT-10 b,600,328,874,7.4,10.87,Jovian,31.33,0.294777599,2010
62,Transit,1,2.99433,0.99,560,1826,65,CoRoT-11 b,1657,1385,741,2.9,16.03,Jovian,6.89,0.0453035,2010
63,Transit,1,2.828042,0.411,1150,3751,134,CoRoT-12 b,1442,1170,291,1.1,16.14,Jovian,0,0.042511238,2010
64,Transit,1,4.03519,2.34,1060,3457,123,CoRoT-13 b,1700,1428,416,4.2,9.92,Jovian,10.81,0.060137993,2010
65,Transit,1,1.51214,7.3,1340,4370,156,CoRoT-14 b,1952,1680,2415,16.2,12.22,Jovian,4.78,0.052938521,2010
67,Transit,1,3.7681,2.82,920,3001,107,CoRoT-17 b,1626,1354,772,5.9,11.43,Jovian,6.23,0.065888988,2011
68,Transit,1,1.9000693,2.2,870,2838,101,CoRoT-18 b,1550,1278,1103,5.1,14.68,Jovian,6.35,0.063958536,2011
69,Transit,1,3.89713,0.71,770,2511,90,CoRoT-19 b,2000,1728,353,1.7,14.46,Jovian,6.7,0.030778052,2011
71,Transit,1,9.24285,8.87,1230,4012,143,CoRoT-20 b,1002,730,1348,15.2,9.42,Jovian,18.95,0.148343057,2011
72,Transit,1,9.75598,0.249,592,1931,69,CoRoT-22 b,885,613,12,0.5,4.88,Neptunian,17.3,0.090641454,2014
73,Transit,1,3.6313,3,600,1957,70,CoRoT-23 b,1660,1388,890,6.4,11.77,Jovian,6.85,0.064362889,2011
74,Transit,2,5.1134,0.9,600,1957,70,CoRoT-24 b,1070,798,6,0.4,3.70,Neptunian,10.9,0.10963701,2014
75,Transit,2,11.759,1.3,600,1957,70,CoRoT-24 c,850,578,28,1.1,5.00,Neptunian,18,0.162240595,2014
76,Transit,1,4.86069,0.15,1000,3262,116,CoRoT-25 b,1330,1058,86,0.6,12.11,Jovian,10.2,0.035936768,2013
77,Transit,1,4.20474,0.28,1670,5447,195,CoRoT-26 b,1600,1328,165,0.8,14.12,Jovian,6.28,0.032528798,2013
85,Transit,2,0.85359159,7.5,153.7,501,18,CoRoT-7 b,1756,1484,6,2.3,1.59,Terran,4.484,0.085114867,2009
94,Transit,1,1.62893,6,12.04,39,1,GJ 1132 b,409,137,2,1.2,1.16,Terran,16,0.680586884,2015
107,Radial Velocity,1,3.3366487,1.18,25.2,82,3,GJ 3470 b,604,332,14,0.9,3.88,Neptunian,13.94,0.25805152,2012
137,Transit,1,4.46529976,0.282,139,453,16,HAT-P-1 b,1322,1050,167,0.8,14.79,Jovian,9.853,0.04349436,2006
