rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbeccen,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,ra,dec,st_dist,st_teff,st_mass,st_rad,pl_name,pl_masse,pl_rade,pl_disc,pl_mnum
1,11 Com,Radial Velocity,1,326.03,0.231,19.4,Msini,,,185.179276,17.792868,110.62,4742,2.7,19,11 Com b,,,2007,0
2,11 UMi,Radial Velocity,1,516.22,0.08,10.5,Msini,,,229.274536,71.823898,119.47,4340,1.8,24.08,11 UMi b,,,2009,0
3,14 And,Radial Velocity,1,185.84,0,4.8,Msini,,,352.822571,39.236198,76.39,4813,2.2,11,14 And b,,,2008,0
4,14 Her,Radial Velocity,1,1773.4,0.369,4.64,Msini,,,242.601303,43.817646,18.15,5311,0.9,,14 Her b,,,2002,0
5,16 Cyg B,Radial Velocity,1,798.5,0.681,1.68,Msini,,,295.466553,50.517525,21.41,5674,0.99,,16 Cyg B b,,,1996,0
6,18 Del,Radial Velocity,1,993.3,0.08,10.3,Msini,,,314.608063,10.839286,73.1,4979,2.3,8.5,18 Del b,,,2008,0
7,1RXS J160929.1-210524,Imaging,1,,,8,Mass,,,242.376268,-21.083036,145,4060,0.85,,1RXS J160929.1-210524 b,3000,,2008,0
8,24 Sex,Radial Velocity,2,452.8,0.09,1.99,Msini,,,155.86821,-0.902244,74.79,5098,1.54,4.9,24 Sex b,,,2010,0
9,24 Sex,Radial Velocity,2,883,0.29,0.86,Msini,,,155.86821,-0.902244,74.79,5098,1.54,4.9,24 Sex c,,,2010,0
10,2MASS J01225093-2439505,Imaging,1,,,24.5,Mass,,,20.712243,-24.664049,36,3530,0.4,,2MASS J01225093-2439505 b,7786.5,,2013,0
11,2MASS J02192210-3925225,Imaging,1,,,13.9,Mass,1.44,,34.842106,-39.422928,39.4,3064,0.11,0.28,2MASS J02192210-3925225 b,4417.837,16.141,2015,0
12,2MASS J04414489+2301513,Imaging,1,,,7.5,Mass,,,70.437073,23.030941,140,,0.02,,2MASS J04414489+2301513 b,2383.6,,2010,0
13,2MASS J12073346-3932539,Imaging,1,,,4,Mass,,,181.889447,-39.548332,52.4,,0.02,,2MASS J12073346-3932539 b,1271,,2004,0
14,2MASS J19383260+4603591,Eclipse Timing Variations,1,416,,1.9,Mass,,,294.635865,46.066418,,,0.48,,2MASS J19383260+4603591 b,603.877,,2015,0
15,2MASS J21402931+1625183 A,Imaging,1,7336.5,0.26,20.95,Mass,0.92,,325.122159,16.421759,25,2300,0.08,0.12,2MASS J21402931+1625183 A b,6657.48,10.31,2009,0
16,30 Ari B,Radial Velocity,1,335.1,0.289,9.88,Msini,,,39.240585,24.648064,39.43,6300,1.16,1.13,30 Ari B b,,,2009,0
17,4 UMa,Radial Velocity,1,269.3,0.432,7.1,Msini,,,130.053406,64.327934,77.4,4415,1.23,18.11,4 UMa b,,,2006,0
18,42 Dra,Radial Velocity,1,479.1,0.38,3.88,Msini,,,276.496399,65.563484,97.28,4200,0.98,22.03,42 Dra b,,,2008,0
19,47 UMa,Radial Velocity,3,1078,0.032,2.53,Msini,,,164.866562,40.430256,14.08,5892,1.03,1.23,47 UMa b,,,1996,0
20,47 UMa,Radial Velocity,3,2391,0.098,0.54,Msini,,,164.866562,40.430256,14.08,5892,1.03,1.23,47 UMa c,,,2001,0
21,47 UMa,Radial Velocity,3,14002,0.16,1.64,Msini,,,164.866562,40.430256,14.08,5892,1.03,1.23,47 UMa d,,,2009,0
22,51 Eri,Imaging,1,,,2,Mass,,,69.400551,-2.473548,29.4,,1.75,,51 Eri b,635.66,,2015,0
23,51 Peg,Radial Velocity,1,4.230785,0.013,0.472,Msini,,,344.366577,20.768833,15.36,5793,1.12,1.2,51 Peg b,,,1995,0
24,55 Cnc,Radial Velocity,5,14.65152,0.0034,0.8306,Mass,,,133.149216,28.330818,12.53,5196,0.91,0.94,55 Cnc b,263.9785,,1996,0
25,55 Cnc,Radial Velocity,5,44.4175,0.02,0.1714,Mass,,,133.149216,28.330818,12.53,5196,0.91,0.94,55 Cnc c,54.4738,,2004,0
26,55 Cnc,Radial Velocity,5,4825,0.019,3.878,Mass,,,133.149216,28.330818,12.53,5196,0.91,0.94,55 Cnc d,1232.493,,2002,0
27,55 Cnc,Radial Velocity,5,,,0.02542,Mass,0.171,6.3,133.149216,28.330818,12.53,5196,0.91,0.94,55 Cnc e,8.08,1.92,2004,0
28,55 Cnc,Radial Velocity,5,262,0.305,0.141,Mass,,,133.149216,28.330818,12.53,5196,0.91,0.94,55 Cnc f,44.812,,2007,0
29,6 Lyn,Radial Velocity,1,874.774,0.125,2.21,Msini,,,97.696281,58.162632,56.95,4978,1.7,5.2,6 Lyn b,,,2008,0
30,61 Vir,Radial Velocity,3,4.215,0.12,0.016,Msini,,,199.601318,-18.311195,8.52,5577,0.94,0.96,61 Vir b,,,2009,0
31,61 Vir,Radial Velocity,3,38.021,0.14,0.057,Msini,,,199.601318,-18.311195,8.52,5577,0.94,0.96,61 Vir c,,,2009,0
32,61 Vir,Radial Velocity,3,123.01,0.35,0.072,Msini,,,199.601318,-18.311195,8.52,5577,0.94,0.96,61 Vir d,,,2009,0
33,7 CMa,Radial Velocity,1,796,0.22,2.46,Msini,,,99.17099,-19.255878,19.84,4792,1.52,2.3,7 CMa b,,,2011,0
34,70 Vir,Radial Velocity,1,116.6926,0.399,7.4,Msini,,,202.107544,13.778788,18.11,5439,1.09,1.94,70 Vir b,,,1996,0
